年度,統一編號,公司名稱,會計科目,營業收入合計,營業成本合計,營業毛利毛損,營業毛利毛損淨額,推銷費用,管理費用,研究發展費用,預期信用減損損失利益,營業費用合計,其他收益及費損淨額,營業利益損失,利息收入,其他收入,其他利益及損失淨額,財務成本淨額,採用權益法認列之關聯企業及合資損益之份額淨額,營業外收入及支出合計,稅前淨利淨損,所得稅費用利益合計,繼續營業單位本期淨利淨損,本期淨利淨損
2024,24566673,富鴻網股份有限公司,富鴻網,1464343,1435037,29306,29306,43928,43930,41409,4275,124892,,-95586,3695,70,4669,-2116,,6318,-89268,,,-89268
2024,28497918,博弘雲端,6997 博弘,4002787,3509063,493724,493724,204265,111761,24996,-2565,338457,,155267,9598,,137,-182,,5841,161108,38071,,123037
2024,96979933,中華電信股份有限公司,2412 中華電,229968292,146582797,83385495,83385495,25103662,7175286,4167200,188064,36634212,121853,46873136,780968,463343,-178503,339342,154187,880653,47753789,9216287,38537502,38537502
2024,97176270,台灣大哥大股份有限公司,3045 台灣大,199373905,159678771,39695134,39695134,12504762,7067814,682128,392311,20647015,1202357,20250476,296450,864660,-135670,1718091,-25785,-718436,19532040,3736495,15795545,15795545
2024,97179430,遠傳電信股份有限公司,4904 遠傳,104622553,72311284,32311269,32311269,11769672,5786958,,283128,17839758,1031735,15503246,151241,78379,427101,941350,285022,393,15503639,2559445,12944194,12944194
2023,24566673,富鴻網股份有限公司,富鴻網,1532634,1511380,21254,21254,59433,43503,24766,5101,122601,,-101347,1442,19,-1768,-2751,,-3058,-104405,-19987,,-124392
2023,28497918,博弘雲端,6997 博弘,4748542,4327051,421491,421491,177418,103871,17531,8437,307257,,114234,6879,,416,-656,,6792,121026,30698,,90328
2023,96979933,中華電信股份有限公司,2412 中華電,223199260,141766718,81432542,81432542,23599302,6801190,3891381,152067,34443940,-635367,46353235,617609,381835,-284244,319163,243374,639411,46992646,9002110,37990536,37990536
2023,97176270,台灣大哥大股份有限公司,3045 台灣大,183347825,148585572,34762253,34762253,10922321,6382548,511574,269969,18086412,868863,17544704,228425,36018,742881,1029247,-51417,-73340,17471364,3136360,14335004,14335004
2023,97179430,遠傳電信股份有限公司,4904 遠傳,93690417,65060442,28629975,28629975,9964050,5179482,,257340,15400872,827426,14056529,134439,104661,7054,801401,321474,-233773,13822756,2529564,11293192,11293192
2022,28497918,博弘雲端,6997 博弘,5061879,4655463,406416,406416,185313,72803,15286,38121,311523,,94893,417,,425,-445,,-15771,79122,18461,,60661
2021,28497918,博弘雲端,6997 博弘,3510759,3190920,319839,319839,150525,48881,7852,18890,226148,,93691,57,,-3263,-295,,-10633,83058,22796,,60262
2020,28497918,博弘雲端,6997 博弘,2066623,1855975,210648,210648,118794,32375,5316,8019,164504,,46144,66,,2305,-323,,3272,49416,10898,,38518
2022,24566673,富鴻網股份有限公司,富鴻網,"1,470,582","1,327,805","142,777","142,777","81,946","38,657","31,185","1,105","152,893",,"-10,116",599,1,"-2,912","-1,732",,"-4,044","-14,160","1,902",,"-12,258"
2021,24566673,富鴻網股份有限公司,富鴻網,"1,084,839","1,039,038","45,801","45,801","49,001","57,088","36,613","3,186","145,888",,"-100,087",607,2,-937,-521,-217,"-1,066","-101,153","21,044",,"-80,109"
2020,24566673,富鴻網股份有限公司,富鴻網,"1,137,459","962,071","175,388","175,388","28,585","46,974","24,072",502,"99,129",,"-76,259","1,778",20,"-1,943",-518,-343,"-1,066","75,253","-9,307",,"65,946"
2022,96979933,中華電信股份有限公司,2412 中華電 (上市通信網路業),216739234,136717375,80021859,80021859,22819067,6579537,3774309,117070,33289983,93013,46824889,249129,368523,-403784,262738,452931,404061,47228950,9228911,38000039,38000039
2022,97179430,遠傳電信股份有限公司,4904 遠傳 (上市通信網路業),89151365,62094526,27056839,27056839,9951752,4789162,,265837,15006751,583435,12633523,65286,84258,-135488,639597,-8901,-634442,11999081,2293193,9705888,9705888
2022,97176270,台灣大哥大股份有限公司,3045 台灣大 (上市通信網路業),172206112,138980890,33225222,33225222,10434740,6059250,391273,258214,17143477,810994,16892739,110440,55497,-140445,737134,10145,-701497,16191242,3219830,12971412,12971412
2021,96979933,中華電信股份有限公司,2412 中華電 (上市通信網路業),210477948,135110751,75367197,75367197,20944091,5293136,3687747,142991,30067965,-369411,44929821,94684,377820,460830,218171,421640,1136803,46066624,8871745,37194879,37194879
2021,97179430,遠傳電信股份有限公司,4904 遠傳 (上市通信網路業),85320008,59882004,25438004,25438004,10189588,4812695,,293280,15295563,218680,10361121,44480,87799,1176469,677354,88270,719664,11080785,1846904,9233881,9233881
2021,97176270,台灣大哥大股份有限公司,3045 台灣大 (上市通信網路業),156109533,124734936,31374597,31374597,10007715,5530575,242608,224659,16005557,684001,16053041,56370,25398,94260,627813,-19681,-471466,15581575,2756366,12825209,12825209
2020,96979933,中華電信股份有限公司,2412 中華電 (上市通信網路業),207608998,137028852,70580146,70580146,20912848,5005934,3849999,44885,29813666,1595246,42361726,115922,469608,-152967,206063,242745,469245,42830971,8125428,34705543,34705543
2020,97179430,遠傳電信股份有限公司,4904 遠傳 (上市通信網路業),79500965,53567102,25933863,25933863,9981804,4623619,,290741,14896164,,11037699,66543,122064,-478025,694520,138707,-845231,10192468,1747846,8444622,8444622
2020,97176270,台灣大哥大股份有限公司,3045 台灣大 (上市通信網路業),132860984,101415248,31445736,31445736,10055415,5260967,214996,190763,15722141,332565,16056160,66122,121592,-267386,618588,99891,-598369,15457791,3064013,12393778,12393778
